ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Meta: produkt_maengde","Meta: _produkt_maengde","Meta: produkt_beskrivelse","Meta: _produkt_beskrivelse","Meta: oprindelsesland","Meta: _oprindelsesland","Meta: naeringsindhold","Meta: _naeringsindhold","Meta: ingredienser","Meta: _ingredienser"
242,simple,,,"Blåbærsaft sød",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,85,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Blabaersaft-sod.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
243,simple,,,"Blandet saft",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,67,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Blandet-saft.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
244,simple,,,Havtornsaft,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,74,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Havtornsaft.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
245,simple,,,Hindbærsaft,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,100,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Hindbaersaft.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
246,simple,,,Hyldebærsaft,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,69,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Hyldebaersaft.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
247,simple,,,Hyldeblomstdrik,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,58,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Hyldeblomstdrik.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
250,simple,,,Jordbærsaft,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,68,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Jordbaersaft.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
251,simple,,,"Kirsebærsaft sur",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,72,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Kirsebaersaft-sur.png,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
252,simple,,,Kirsebærsaft,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,70,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Kirsebaersaft.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
253,simple,,,Rabarbersaft,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,70,"Drikkevarer > Saft",,,http://ap-birkemosegaard.local/wp-content/uploads/2025/05/Rabarbersaft.jpg,,,,,,,,,0,Søbogaard,"73 cl",field_68371d05ca974,,field_6836293a89ed7,,field_6836313faa69b,,field_683629af89ed8,,field_68362b303ac21
